epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5501,1.1708,5.39491,1.71803,0.22031,0.50957,0.31667,0.23953,0.81029,2.77575,1.44978,0.000109832,0.000109832,0.000109832
2,105.481,0.90232,2.71214,1.43115,0.49057,0.60091,0.65256,0.4904,1.03978,1.95572,1.70788,0.0002099,0.0002099,0.0002099
3,154.127,0.8719,2.14761,1.38979,0.49528,0.7423,0.73602,0.55641,0.99407,1.58774,1.61767,0.00029898,0.00029898,0.00029898
4,203.111,0.87035,1.83445,1.3734,0.64953,0.73899,0.79606,0.65387,0.8229,1.32197,1.41402,0.00028355,0.00028355,0.00028355
5,252.046,0.83112,1.61833,1.35428,0.70492,0.74821,0.82267,0.61243,1.00563,1.19803,1.6009,0.000267066,0.000267066,0.000267066
6,303.862,0.79595,1.39544,1.3115,0.79073,0.79536,0.87929,0.67987,0.94795,0.9443,1.50872,0.000250583,0.000250583,0.000250583
7,353.34,0.77097,1.3212,1.2846,0.77877,0.81768,0.9107,0.73187,0.84237,0.88695,1.44454,0.000234099,0.000234099,0.000234099
8,403.271,0.75954,1.25681,1.26859,0.77888,0.8173,0.89697,0.68452,0.98526,0.96147,1.56294,0.000217616,0.000217616,0.000217616
9,452.253,0.74933,1.16225,1.26463,0.84453,0.82306,0.9044,0.70468,0.91878,0.87175,1.52053,0.000201132,0.000201132,0.000201132
10,500.123,0.73203,1.049,1.24708,0.83801,0.80128,0.92222,0.71553,0.93887,0.8235,1.47331,0.000184649,0.000184649,0.000184649
11,554.814,0.57963,0.6382,1.21932,0.87534,0.86556,0.93316,0.70089,1.03966,0.69758,1.67126,0.000168165,0.000168165,0.000168165
12,604.354,0.54134,0.5122,1.17159,0.86838,0.8845,0.90629,0.69563,0.97962,0.68985,1.58031,0.000151682,0.000151682,0.000151682
13,652.956,0.52144,0.47161,1.14943,0.83368,0.87106,0.91639,0.73707,0.86183,0.71515,1.44265,0.000135198,0.000135198,0.000135198
14,701.076,0.50898,0.42403,1.13438,0.87921,0.86711,0.92608,0.73124,0.94386,0.71629,1.55587,0.000118714,0.000118714,0.000118714
15,750.811,0.48419,0.39114,1.11451,0.86932,0.84853,0.93542,0.75299,0.85786,0.66802,1.43355,0.000102231,0.000102231,0.000102231
16,800.687,0.46694,0.36005,1.09172,0.90133,0.84108,0.92794,0.75219,0.86267,0.61515,1.45323,8.57475e-05,8.57475e-05,8.57475e-05
17,848.613,0.45038,0.32703,1.07771,0.90482,0.84883,0.93061,0.74977,0.87909,0.56909,1.46369,6.9264e-05,6.9264e-05,6.9264e-05
18,895.954,0.43697,0.30921,1.06513,0.91771,0.84669,0.93124,0.7448,0.89106,0.59592,1.49423,5.27805e-05,5.27805e-05,5.27805e-05
19,944.018,0.43001,0.2999,1.05539,0.8854,0.87086,0.93756,0.76428,0.84947,0.5701,1.45695,3.6297e-05,3.6297e-05,3.6297e-05
20,995.615,0.4085,0.28157,1.03624,0.89882,0.88657,0.9405,0.78128,0.77719,0.53888,1.36158,1.98135e-05,1.98135e-05,1.98135e-05
